Date	Close AAPL	Pret AAPL	Date	Close SMSM	Pret SMSM_dolar	Date	Pret Indice
09.08.2022	164919998	164.92	Oct 26, 2022	59400	45.14	Aug 03 2022	4155.17
10.08.2022	169240005	169.24	Oct 25, 2022	57700	43.85	Aug 04 2022	4151.94
11.08.2022	168490005	168.49	Oct 24, 2022	57500	43.7	Aug 05 2022	4145.19
12.08.2022	172100006	172.1	Oct 21, 2022	55900	42.48	Aug 08 2022	4140.06
15.08.2022	173190002	173.19	Oct 20, 2022	55500	42.18	Aug 09 2022	4122.47
16.08.2022	173029999	173.03	Oct 19, 2022	55800	42.41	Aug 10 2022	4210.24
17.08.2022	174550003	174.55	Oct 18, 2022	56500	42.94	Aug 11 2022	4207.27
18.08.2022	174149994	174.15	Oct 17, 2022	56600	43.02	Aug 12 2022	4280.15
19.08.2022	171520004	171.52	Oct 14, 2022	56300	42.79	Aug 15 2022	4297.14
22.08.2022	167570007	167.57	Oct 13, 2022	55200	41.95	Aug 16 2022	4305.2
23.08.2022	167229996	167.23	Oct 12, 2022	55800	42.41	Aug 17 2022	4274.04
24.08.2022	167529999	167.53	Oct 11, 2022	55400	42.1	Aug 18 2022	4283.74
25.08.2022	170029999	170.03	Oct 07, 2022	56200	42.71	Aug 19 2022	4228.48
26.08.2022	163619995	163.62	Oct 06, 2022	56300	42.79	Aug 22 2022	4137.99
29.08.2022	161380005	161.38	Oct 05, 2022	56000	42.56	Aug 23 2022	4128.73
30.08.2022	158910004	158.91	Oct 04, 2022	55200	41.95	Aug 24 2022	4140.77
31.08.2022	157220001	157.22	Sep 30, 2022	53100	40.36	Aug 25 2022	4199.12
01.09.2022	157960007	157.96	Sep 29, 2022	52600	39.98	Aug 26 2022	4057.66
02.09.2022	155809998	155.81	Sep 29, 2022		0	Aug 29 2022	4030.61
06.09.2022	154529999	154.53	Sep 28, 2022	52900	40.2	Aug 30 2022	3986.16
07.09.2022	155960007	155.96	Sep 27, 2022	54200	41.19	Aug 31 2022	3955
08.09.2022	154460007	154.46	Sep 26, 2022	53900	40.96	Sep 01 2022	3966.85
09.09.2022	157369995	157.37	Sep 23, 2022	54500	41.42	Sep 02 2022	3924.26
12.09.2022	163429993	163.43	Sep 22, 2022	54400	41.34	Sep 06 2022	3908.19
13.09.2022	153839996	153.84	Sep 21, 2022	55300	42.03	Sep 07 2022	3979.87
14.09.2022	155309998	155.31	Sep 20, 2022	55800	42.41	Sep 08 2022	4006.18
15.09.2022	152369995	152.37	Sep 19, 2022	56400	42.86	Sep 09 2022	4067.36
16.09.2022	150699997	150.7	Sep 16, 2022	56200	42.71	Sep 12 2022	4110.41
19.09.2022	154479996	154.48	Sep 15, 2022	56000	42.56	Sep 13 2022	3932.69
20.09.2022	156899994	156.9	Sep 14, 2022	56800	43.17	Sep 14 2022	3946.01
21.09.2022	153720001	153.72	Sep 13, 2022	58100	44.16	Sep 15 2022	3901.35
22.09.2022	152740005	152.74	Sep 08, 2022	55600	42.26	Sep 16 2022	3873.33
23.09.2022	150429993	150.43	Sep 07, 2022	56000	42.56	Sep 19 2022	3899.89
26.09.2022	150770004	150.77	Sep 06, 2022	57100	43.4	Sep 20 2022	3855.93
27.09.2022	151759995	151.76	Sep 05, 2022	57100	43.4	Sep 21 2022	3789.93
28.09.2022	149839996	149.84	Sep 02, 2022	57500	43.7	Sep 22 2022	3757.99
